Edge_size;#Players;Time_to_win;Winner_kill;Avg_kill_per_player;Players_speed(cell per iteration)
10;2;102;1;0.5;1
50;2;5741;1;0.5;1
100;2;9447;1;0.5;1
200;2;14707;1;0.5;1
500;2;32230;1;0.5;1
700;2;314479;1;0.5;1
1000;2;300929;1;0.5;1
1500;2;25874342;1;0.5;1
10;10;86;4;0.9;1
50;10;13938;4;0.9;1
100;10;13427;2;0.9;1
200;10;60911;1;0.9;1
500;10;616500;3;0.9;1
700;10;793767;3;0.9;1
1000;10;1006414;3;0.9;1
1500;10;7361028;3;0.9;1
50;50;4622;3;0.98;1
100;50;43199;3;0.98;1
200;50;96342;4;0.98;1
500;50;380593;5;0.98;1
700;50;445326;5;0.98;1
1000;50;4474155;8;0.98;1
1500;50;8135017;4;0.98;1
100;100;32602;6;0.99;1
200;100;252836;5;0.99;1
500;100;895992;6;0.99;1
700;100;1197535;6;0.99;1
1000;100;3696562;3;0.99;1
1500;100;14040037;5;0.99;1
200;200;54499;5;0.995;1
500;200;299200;6;0.995;1
700;200;868407;3;0.995;1
1000;200;3371043;5;0.995;1
1500;200;32421858;6;0.995;1
500;500;626242;9;0.998;1
700;500;967154;10;0.998;1
1000;500;3492163;11;0.998;1
1500;500;11778674;8;0.998;1
