D,N,max occupancy,theoretical,accuracy,min occupancy, avg occupancy 
1,100,4,3.0154738238809906,0.7538684559702477,0,1.0
1,1000,6,3.574249916581999,0.5957083194303332,0,1.0
1,10000,6,4.148191313801706,0.691365218966951,0,1.0
1,100000,8,4.711710714547694,0.5889638393184617,0,1.0
1,1000000,8,5.261464353591485,0.6576830441989356,0,1.0
1,10000000,10,5.7979958593346295,0.5797995859334629,0,1.0
2,100,2,2.203254472699722,1.101627236349861,0,1.0
2,1000,3,2.788216973420878,0.9294056578069593,0,1.0
2,10000,3,3.203254472699722,1.0677514908999073,0,1.0
2,100000,4,3.525182567587084,0.881295641896771,0,1.0
2,1000000,4,3.7882169734208784,0.9470542433552196,0,1.0
2,10000000,4,4.010609394757326,1.0026523486893315,0,1.0
4,100,2,1.101627236349861,0.5508136181749305,0,1.0
4,1000,2,1.394108486710439,0.6970542433552195,0,1.0
4,10000,2,1.601627236349861,0.8008136181749305,0,1.0
4,100000,3,1.762591283793542,0.5875304279311807,0,1.0
4,1000000,3,1.8941084867104392,0.6313694955701464,0,1.0
4,10000000,3,2.005304697378663,0.668434899126221,0,1.0
